frame,pred_x,pred_y,gt_x,gt_y,distance
1,960,540,960.5,538.5,1.5811388300841898
2,960,540,960.5,538.5,1.5811388300841898
3,960,540,960.5,538.5,1.5811388300841898
4,960,540,960.5,538.5,1.5811388300841898
5,960,540,960.5,538.5,1.5811388300841898
6,960,540,960.5,538.5,1.5811388300841898
7,960,540,960.5,538.5,1.5811388300841898
8,960,540,960.5,538.5,1.5811388300841898
9,960,540,960.5,538.5,1.5811388300841898
10,960,540,960.5,538.5,1.5811388300841898
11,960,540,960.5,538.5,1.5811388300841898
12,960,540,960.5,538.5,1.5811388300841898
13,960,540,960.5,538.5,1.5811388300841898
14,960,540,960.5,538.5,1.5811388300841898
15,960,539,960.5,538.5,0.7071067811865476
16,960,539,960.5,538.5,0.7071067811865476
17,960,539,960.5,538.5,0.7071067811865476
18,960,539,960.5,538.5,0.7071067811865476
19,960,539,960.5,538.5,0.7071067811865476
